run,seed,p50,p95,p99,max,miss_rate,tier1_frac,tier2_frac,tier3_frac
0,1591207480,8.990851758397866,18.719594280786108,24.334280434277677,49.1170263901779,0.009,0.6333333333333333,0.36666666666666664,0.0
1,1814784297,8.966292348651095,18.59046366873542,24.805397916244104,40.89945880403434,0.009333333333333334,0.5852222222222222,0.4147777777777778,0.0
2,230512677,8.971332382287756,18.529849670443436,25.010658546849815,47.65800093389316,0.01011111111111111,0.6075555555555555,0.39244444444444443,0.0
3,345687080,9.005787035605728,18.58504153142827,24.440180182701855,40.63557647778282,0.008222222222222223,0.64,0.36,0.0
4,983484580,9.040327639626256,18.698273053401234,24.031781691589636,39.695869336156875,0.007333333333333333,0.6733333333333333,0.32666666666666666,0.0
5,1197747294,9.122175811043576,18.676333330703443,24.361898505331155,47.02586929528252,0.008777777777777778,0.6733333333333333,0.32666666666666666,0.0
6,1635594672,9.052438832384269,18.881537601522776,24.45844848402516,40.85784398796477,0.008333333333333333,0.6533333333333333,0.3466666666666667,0.0
7,790445655,9.006155580962627,18.733247605783266,24.45489767011154,51.609032903826346,0.008888888888888889,0.6266666666666667,0.37333333333333335,0.0
8,76921334,9.020041535578116,18.593231637885303,25.07306554400344,39.69018486364462,0.01011111111111111,0.6,0.4,0.0
9,461584351,8.912725903449825,18.447270241719295,25.014617788429558,47.32658959892433,0.01011111111111111,0.6103333333333333,0.38966666666666666,0.0
10,979858944,9.075945805307573,18.758519336232375,24.542879118688756,40.3355340885696,0.008888888888888889,0.6333333333333333,0.36666666666666664,0.0
11,828550811,8.978491184201687,18.44419735083846,24.949018908386623,42.85228100718541,0.009888888888888888,0.62,0.38,0.0
12,1965527186,9.00615583140052,18.823431554488213,24.807974230361662,39.04244426658465,0.009222222222222222,0.6533333333333333,0.3466666666666667,0.0
13,919476259,9.045264143267673,18.58351673287686,24.567281363319772,42.538162285211456,0.008666666666666666,0.68,0.32,0.0
14,1370311827,9.001940195329183,18.20454162264866,24.478926284501163,38.20448563655532,0.008888888888888889,0.6333333333333333,0.36666666666666664,0.0
15,1312849327,9.070077127177,18.492399008172804,24.70859506460045,42.076689789709576,0.009,0.6533333333333333,0.3466666666666667,0.0
16,195542680,9.041055374094498,18.620765953113146,24.188587943425848,43.13739846159592,0.0077777777777777776,0.6666666666666666,0.3333333333333333,0.0
17,1581376614,9.260770800242568,18.826296074726645,24.77019286093324,44.417389242738636,0.009444444444444445,0.6666666666666666,0.3333333333333333,0.0
18,107260627,9.038500005999595,18.719137240982768,24.597950482411765,45.33063847793528,0.009111111111111111,0.64,0.36,0.0
19,32834287,9.121724188156932,18.677364614386953,24.61438936525041,42.01955046369221,0.009,0.64,0.36,0.0
20,1257010628,8.990220545399552,18.63924912366314,24.75050493179085,44.849859909930956,0.009333333333333334,0.6333333333333333,0.36666666666666664,0.0
21,545548707,9.076622735673112,18.74475727890541,24.222827290837195,51.78152651114942,0.0077777777777777776,0.66,0.34,0.0
22,786091512,9.016630236111212,18.642647602695206,24.48953022928891,40.51081915378063,0.008333333333333333,0.6266666666666667,0.37333333333333335,0.0
23,1297393342,9.030553293978727,18.939077473025627,24.941922395989884,41.283341447837074,0.009777777777777778,0.6466666666666666,0.35333333333333333,0.0
24,335903540,8.972504547415383,18.806809166589744,24.95406858964206,43.387635328144825,0.01,0.6333333333333333,0.36666666666666664,0.0
25,179823182,9.113825032954992,18.973727937692782,24.46026602311975,47.6328194120299,0.008222222222222223,0.6666666666666666,0.3333333333333333,0.0
26,1504878305,9.099801571726962,19.028071189794105,24.15422248763349,46.962031579965924,0.00788888888888889,0.64,0.36,0.0
27,2142681188,9.10411036246117,18.705281942244763,25.047947433429144,37.91878976491603,0.01011111111111111,0.64,0.36,0.0
28,1466447481,9.060430757724447,18.856539122806737,24.737292123357985,43.132783883152115,0.009444444444444445,0.6333333333333333,0.36666666666666664,0.0
29,1787449690,9.031473596294859,19.00842541393359,24.569340103906256,49.15671767918184,0.008555555555555556,0.6266666666666667,0.37333333333333335,0.0
