policy,cycle,latency_ms,tier
fixed_t1,199,13.610968,1
fixed_t1,200,15.909677,1
fixed_t1,201,14.341567,1
fixed_t1,202,8.151766,1
fixed_t1,203,6.660658,1
fixed_t1,204,5.499213,1
fixed_t1,205,11.309464,1
fixed_t1,206,5.508073,1
fixed_t1,207,8.737769,1
fixed_t1,208,10.931954,1
fixed_t1,209,6.659320,1
fixed_t1,210,14.355334,1
fixed_t1,211,3.134400,1
fixed_t1,212,9.719176,1
fixed_t1,213,9.558770,1
fixed_t1,214,5.118186,1
fixed_t1,215,6.273331,1
fixed_t1,216,14.260284,1
fixed_t1,217,4.637697,1
fixed_t1,218,9.241134,1
fixed_t1,219,7.194094,1
fixed_t1,220,14.945127,1
fixed_t1,221,11.349865,1
fixed_t1,222,13.320445,1
fixed_t1,223,4.887654,1
fixed_t1,224,5.579250,1
fixed_t1,225,8.041625,1
fixed_t1,226,8.252049,1
fixed_t1,227,8.273924,1
fixed_t1,228,11.271012,1
fixed_t1,229,6.005886,1
fixed_t1,230,7.786057,1
fixed_t1,231,8.449146,1
fixed_t1,232,6.167558,1
fixed_t1,233,12.612358,1
fixed_t1,234,6.959352,1
fixed_t1,235,7.633097,1
fixed_t1,236,6.136561,1
fixed_t1,237,10.465928,1
fixed_t1,238,8.650566,1
fixed_t1,239,9.392805,1
fixed_t1,240,6.149731,1
fixed_t1,241,9.622429,1
fixed_t1,242,5.559716,1
fixed_t1,243,4.776231,1
fixed_t1,244,4.096061,1
fixed_t1,245,4.182946,1
fixed_t1,246,11.452416,1
fixed_t1,247,18.263126,1
fixed_t1,248,10.818398,1
fixed_t1,249,13.672549,1
fixed_t1,250,4.007263,1
fixed_t1,251,6.216111,1
fixed_t1,252,8.490810,1
fixed_t1,253,9.932313,1
fixed_t1,254,7.744072,1
fixed_t1,255,10.237399,1
fixed_t1,256,14.363489,1
fixed_t1,257,5.130391,1
fixed_t1,258,5.352767,1
fixed_t1,259,8.383113,1
fixed_t1,260,18.350670,1
fixed_t1,261,5.958238,1
fixed_t1,262,15.688070,1
fixed_t1,263,6.976694,1
fixed_t1,264,10.767753,1
fixed_t1,265,7.015063,1
fixed_t1,266,6.326029,1
fixed_t1,267,7.536780,1
fixed_t1,268,12.576380,1
fixed_t1,269,16.077457,1
fixed_t1,270,9.967208,1
fixed_t1,271,5.957820,1
fixed_t1,272,4.664349,1
fixed_t1,273,11.427318,1
fixed_t1,274,12.669952,1
fixed_t1,275,5.648928,1
fixed_t1,276,6.496409,1
fixed_t1,277,7.831713,1
fixed_t1,278,9.428480,1
fixed_t1,279,5.747408,1
fixed_t1,280,6.470617,1
fixed_t1,281,6.286611,1
fixed_t1,282,6.549630,1
fixed_t1,283,9.680301,1
fixed_t1,284,3.256848,1
fixed_t1,285,8.536745,1
fixed_t1,286,9.837560,1
fixed_t1,287,8.547805,1
fixed_t1,288,16.257902,1
fixed_t1,289,17.178868,1
fixed_t1,290,10.273564,1
fixed_t1,291,10.529471,1
fixed_t1,292,13.162573,1
fixed_t1,293,11.862343,1
fixed_t1,294,13.555008,1
fixed_t1,295,5.593655,1
fixed_t1,296,9.609063,1
fixed_t1,297,7.079501,1
fixed_t1,298,4.805489,1
fixed_t1,299,4.280024,1
fixed_t1,300,13.930839,1
fixed_t1,301,12.137530,1
fixed_t1,302,12.561890,1
fixed_t1,303,7.669079,1
fixed_t1,304,7.955248,1
fixed_t1,305,9.971776,1
fixed_t1,306,3.378565,1
fixed_t1,307,5.917126,1
fixed_t1,308,3.475178,1
fixed_t1,309,6.621261,1
fixed_t1,310,8.685729,1
fixed_t1,311,13.048904,1
fixed_t1,312,23.130163,1
fixed_t1,313,5.324580,1
fixed_t1,314,7.580977,1
fixed_t1,315,13.362117,1
fixed_t1,316,12.563686,1
fixed_t1,317,10.620807,1
fixed_t1,318,13.401369,1
fixed_t1,319,6.305409,1
fixed_t1,320,8.346952,1
fixed_t1,321,7.863664,1
fixed_t1,322,10.843987,1
fixed_t1,323,6.457539,1
fixed_t1,324,8.459315,1
fixed_t1,325,8.213088,1
fixed_t1,326,9.302751,1
fixed_t1,327,7.686068,1
fixed_t1,328,3.931940,1
fixed_t1,329,10.107663,1
fixed_t1,330,15.124076,1
fixed_t1,331,7.133056,1
fixed_t1,332,10.778803,1
fixed_t1,333,7.670268,1
fixed_t1,334,3.774257,1
fixed_t1,335,7.757690,1
fixed_t1,336,10.404466,1
fixed_t1,337,7.062994,1
fixed_t1,338,5.320203,1
fixed_t1,339,4.249053,1
fixed_t1,340,9.166640,1
fixed_t1,341,10.861974,1
fixed_t1,342,5.487598,1
fixed_t1,343,6.414237,1
fixed_t1,344,5.399443,1
fixed_t1,345,5.973589,1
fixed_t1,346,5.578519,1
fixed_t1,347,18.821585,1
fixed_t1,348,6.503981,1
fixed_t1,349,14.295251,1
fixed_t1,350,9.038077,1
fixed_t1,351,9.649065,1
fixed_t1,352,12.725148,1
fixed_t1,353,3.356741,1
fixed_t1,354,7.148152,1
fixed_t1,355,5.342442,1
fixed_t1,356,7.091136,1
fixed_t1,357,7.216922,1
fixed_t1,358,14.671451,1
fixed_t1,359,5.201043,1
fixed_t1,360,7.419808,1
fixed_t1,361,6.368086,1
fixed_t1,362,20.916994,1
fixed_t1,363,8.713739,1
fixed_t1,364,5.396100,1
fixed_t1,365,6.053952,1
fixed_t1,366,9.765897,1
fixed_t1,367,4.192374,1
fixed_t1,368,5.524232,1
fixed_t1,369,9.149917,1
fixed_t1,370,5.326991,1
fixed_t1,371,14.437156,1
fixed_t1,372,12.052142,1
fixed_t1,373,14.919814,1
fixed_t1,374,10.084250,1
fixed_t1,375,9.746876,1
fixed_t1,376,10.514346,1
fixed_t1,377,7.082874,1
fixed_t1,378,9.184584,1
fixed_t1,379,5.668494,1
fixed_t1,380,8.017151,1
fixed_t1,381,8.526967,1
fixed_t1,382,10.967464,1
fixed_t1,383,3.526083,1
fixed_t1,384,9.515172,1
fixed_t1,385,6.343694,1
fixed_t1,386,12.296671,1
fixed_t1,387,6.187672,1
fixed_t1,388,6.556637,1
fixed_t1,389,7.629251,1
fixed_t1,390,8.411321,1
fixed_t1,391,10.473689,1
fixed_t1,392,4.945023,1
fixed_t1,393,7.238659,1
fixed_t1,394,7.772885,1
fixed_t1,395,8.795291,1
fixed_t1,396,7.513908,1
fixed_t1,397,5.808562,1
fixed_t1,398,10.030099,1
fixed_t1,399,6.694191,1
fixed_t1,400,4.236606,1
fixed_t1,401,6.480570,1
fixed_t1,402,4.768636,1
fixed_t1,403,21.702604,1
fixed_t1,404,3.732166,1
fixed_t1,405,5.508917,1
fixed_t1,406,14.039072,1
fixed_t1,407,18.874191,1
fixed_t1,408,7.545351,1
fixed_t1,409,10.350470,1
fixed_t1,410,5.122256,1
fixed_t1,411,10.024261,1
fixed_t1,412,7.695935,1
fixed_t1,413,8.946814,1
fixed_t1,414,7.362075,1
fixed_t1,415,4.792994,1
fixed_t1,416,10.096724,1
fixed_t1,417,5.024723,1
fixed_t1,418,11.431735,1
fixed_t1,419,10.630360,1
fixed_t1,420,7.351934,1
fixed_t1,421,6.246158,1
fixed_t1,422,11.289242,1
fixed_t1,423,3.283564,1
fixed_t1,424,6.309153,1
fixed_t1,425,11.975751,1
fixed_t1,426,13.545006,1
fixed_t1,427,14.849204,1
fixed_t1,428,8.694268,1
fixed_t1,429,5.405978,1
fixed_t1,430,7.794825,1
fixed_t1,431,12.809446,1
fixed_t1,432,18.390456,1
fixed_t1,433,6.130660,1
fixed_t1,434,6.761634,1
fixed_t1,435,16.135521,1
fixed_t1,436,14.651386,1
fixed_t1,437,6.959347,1
fixed_t1,438,6.243852,1
fixed_t1,439,7.877503,1
fixed_t1,440,7.032105,1
fixed_t1,441,5.237963,1
fixed_t1,442,6.692392,1
fixed_t1,443,4.851429,1
fixed_t1,444,6.453159,1
fixed_t1,445,9.728197,1
fixed_t1,446,5.633098,1
fixed_t1,447,7.748329,1
fixed_t1,448,4.324268,1
fixed_t1,449,12.905147,1
fixed_t1,450,10.082936,1
fixed_t1,451,5.488391,1
fixed_t1,452,3.772463,1
fixed_t1,453,10.112137,1
fixed_t1,454,8.302349,1
fixed_t1,455,4.926067,1
fixed_t1,456,6.080295,1
fixed_t1,457,13.832468,1
fixed_t1,458,16.937230,1
fixed_t1,459,5.864296,1
fixed_t1,460,8.897864,1
fixed_t1,461,4.890133,1
