run,seed,p50,p95,p99,max,miss_rate,tier1_frac,tier2_frac,tier3_frac
0,1591207480,9.632594183113241,20.50552800847551,27.27201009049197,44.5477546203108,0.018,1.0,0.0,0.0
1,1814784297,9.6971124053713,20.39586843336707,27.775660654046447,54.06636055673175,0.017666666666666667,1.0,0.0,0.0
2,230512677,9.597371696941082,20.71973686643247,27.52263398714746,54.65651391907045,0.01911111111111111,1.0,0.0,0.0
3,345687080,9.707926418037971,20.43879828842971,26.718225178473748,42.325402165346304,0.017222222222222222,1.0,0.0,0.0
4,983484580,9.578561568584831,20.511287373444972,27.468841973824,49.62974885091853,0.018333333333333333,1.0,0.0,0.0
5,1197747294,9.654580696924597,20.298314951738657,26.87959942372431,43.5805239065985,0.01611111111111111,1.0,0.0,0.0
6,1635594672,9.81895847318981,20.647857912778274,27.44592985024781,52.0803084156114,0.018666666666666668,1.0,0.0,0.0
7,790445655,9.638609558569655,20.513913021231637,26.62184498699362,45.5738237430694,0.01577777777777778,1.0,0.0,0.0
8,76921334,9.753427927681635,20.348475543116244,27.020591771308776,41.407140357620165,0.016444444444444446,1.0,0.0,0.0
9,461584351,9.618534090829911,20.41964945848775,27.058741806313275,39.75950257259342,0.01633333333333333,1.0,0.0,0.0
10,979858944,9.670941302786673,20.37735165782378,27.21689303963928,46.04403902746412,0.01711111111111111,1.0,0.0,0.0
11,828550811,9.644624731766083,20.464118474873764,27.107266218583707,47.46440566643173,0.018222222222222223,1.0,0.0,0.0
12,1965527186,9.617511749695495,20.326503595208578,26.959644909526347,49.31670764875662,0.017555555555555557,1.0,0.0,0.0
13,919476259,9.60721255411734,20.703335166913913,27.362499396544727,55.29647058529008,0.017333333333333333,1.0,0.0,0.0
14,1370311827,9.708359270490519,20.50154320818434,26.840102704536285,60.27344036218096,0.01633333333333333,1.0,0.0,0.0
15,1312849327,9.776841705644301,20.5600252950063,27.198393335581862,39.85734252569273,0.017888888888888888,1.0,0.0,0.0
16,195542680,9.610839705882057,20.45478183566017,27.30178761954108,47.45927578713349,0.016444444444444446,1.0,0.0,0.0
17,1581376614,9.64018976192449,20.208549299192303,27.017778997975505,54.91487802601114,0.015666666666666666,1.0,0.0,0.0
18,107260627,9.71071377155397,20.717428714328882,26.768931542140436,48.64434122559658,0.01711111111111111,1.0,0.0,0.0
19,32834287,9.601500899435678,20.384055003013653,26.547471720743697,49.64230349193599,0.015,1.0,0.0,0.0
20,1257010628,9.67184086709949,20.476006109106482,26.54544072439852,41.91402087323581,0.015,1.0,0.0,0.0
21,545548707,9.679670045727562,20.61537840550471,26.57200051301232,45.85568108637972,0.015555555555555555,1.0,0.0,0.0
22,786091512,9.58671145581036,20.711225514277487,27.219732074487148,55.202824977158116,0.017222222222222222,1.0,0.0,0.0
23,1297393342,9.744521745183476,20.70733940087024,26.73914884396625,45.87286479022623,0.015111111111111112,1.0,0.0,0.0
24,335903540,9.643194676527855,20.74839336195424,27.39782422710903,41.801182364167744,0.018,1.0,0.0,0.0
25,179823182,9.611894221023931,20.254019882548835,27.29109813596879,44.76801182218537,0.016555555555555556,1.0,0.0,0.0
26,1504878305,9.630475197326405,20.69426029652703,27.217025197779932,44.892801668368065,0.017777777777777778,1.0,0.0,0.0
27,2142681188,9.746096879911903,20.5420129170065,26.550823156321858,40.49217038674158,0.01588888888888889,1.0,0.0,0.0
28,1466447481,9.690155180763327,20.43084322301069,26.520736691857138,48.804274272725934,0.015222222222222222,1.0,0.0,0.0
29,1787449690,9.68159295911164,20.349869761847103,26.45373836127875,41.70178372132227,0.015555555555555555,1.0,0.0,0.0
