run,seed,p50,p95,p99,max,miss_rate,tier1_frac,tier2_frac,tier3_frac
0,1591207480,7.929199593206704,17.218367389611394,22.494842890297672,36.052643821932406,0.0036666666666666666,0.0,1.0,0.0
1,1814784297,7.926110650558371,17.033010496312784,22.303420947606014,44.787114471716905,0.004111111111111111,0.0,1.0,0.0
2,230512677,7.856697307332183,16.90467344241994,21.854355343593003,36.19426781824586,0.0033333333333333335,0.0,1.0,0.0
3,345687080,7.859417983634209,16.881464330198522,21.940561032826054,35.71561268887535,0.004333333333333333,0.0,1.0,0.0
4,983484580,7.861443977681404,17.25084805848595,23.02257000331484,37.59428741506099,0.005888888888888889,0.0,1.0,0.0
5,1197747294,7.9646264437229775,17.072041762567373,22.392818960385913,36.20493461912133,0.005111111111111111,0.0,1.0,0.0
6,1635594672,7.879831504297385,16.783647434257887,22.543589756844263,43.27566701644514,0.004222222222222222,0.0,1.0,0.0
7,790445655,7.971332332379788,17.19217972780029,22.058577580218365,40.58118139508338,0.0036666666666666666,0.0,1.0,0.0
8,76921334,7.791451061152088,17.07547008030232,22.311455634990445,33.35423868537646,0.004,0.0,1.0,0.0
9,461584351,7.950197045055063,16.955489462056047,22.2699292084161,39.07713066686824,0.0036666666666666666,0.0,1.0,0.0
10,979858944,7.912910337539714,16.940629767169924,22.363194294302673,35.145471476482726,0.0047777777777777775,0.0,1.0,0.0
11,828550811,7.887150056291148,16.7760336822603,22.34310271627806,35.468743114549284,0.004,0.0,1.0,0.0
12,1965527186,7.885125794820258,16.966827667686058,22.175656812102332,34.120864051544686,0.0038888888888888888,0.0,1.0,0.0
13,919476259,7.873132380822767,16.90518199314823,22.083825916784868,36.51759854599845,0.0032222222222222222,0.0,1.0,0.0
14,1370311827,7.877093402038682,17.002567123870442,22.993521670680376,38.284296870216394,0.004111111111111111,0.0,1.0,0.0
15,1312849327,7.868436122237199,17.077719167281202,21.980146670934747,33.354608775795214,0.004222222222222222,0.0,1.0,0.0
16,195542680,7.881519882140253,16.891591508189638,22.43577194459391,42.16279989049099,0.0044444444444444444,0.0,1.0,0.0
17,1581376614,7.883225668185334,16.908565136686345,22.21857022002581,35.55875071117498,0.004666666666666667,0.0,1.0,0.0
18,107260627,7.768928803912445,16.937507154610643,23.125890038331686,33.29797568409276,0.005,0.0,1.0,0.0
19,32834287,7.901941620287789,17.055376660881898,23.087600408387065,45.958501344330216,0.005333333333333333,0.0,1.0,0.0
20,1257010628,7.890398541494648,17.096316002856316,22.69131904645477,39.45467037013373,0.0044444444444444444,0.0,1.0,0.0
21,545548707,7.930200695163592,16.975015628352697,22.584530577960326,42.443636194263945,0.004888888888888889,0.0,1.0,0.0
22,786091512,7.905314026949384,17.00606495991792,22.584037747322157,35.464559970733944,0.0044444444444444444,0.0,1.0,0.0
23,1297393342,7.883932922283066,16.90427582614262,22.205849897311232,35.701997481055514,0.0033333333333333335,0.0,1.0,0.0
24,335903540,7.893093358319447,17.09334998973553,22.994319947187027,35.03446032632951,0.005333333333333333,0.0,1.0,0.0
25,179823182,7.886136539383415,16.803166337545854,21.92551343998048,45.49809747521749,0.005,0.0,1.0,0.0
26,1504878305,7.932617877848713,16.95622825528078,22.530157321317297,39.38791592045732,0.004555555555555556,0.0,1.0,0.0
27,2142681188,7.836366735332945,16.68801706651166,22.45164035019883,38.65022124922746,0.0054444444444444445,0.0,1.0,0.0
28,1466447481,7.860533071784914,16.929328422242655,22.86343637923893,44.56172948258086,0.005222222222222222,0.0,1.0,0.0
29,1787449690,7.971829394676888,17.088579652772744,22.62821870533401,36.3514114558825,0.005,0.0,1.0,0.0
