run,seed,p50,p95,p99,max,miss_rate,tier1_frac,tier2_frac,tier3_frac
0,1591207480,7.228280705646739,15.5622982526232,21.04001887184705,45.396306968556566,0.0034444444444444444,0.56,0.08666666666666667,0.35333333333333333
1,1814784297,7.143401032557506,15.267555950921261,20.77221637355454,32.023638917195285,0.002,0.5933333333333334,0.04,0.36666666666666664
2,230512677,7.028287490335572,15.13243282197578,20.288295032794682,38.374357935467174,0.0026666666666666666,0.4866666666666667,0.13333333333333333,0.38
3,345687080,7.187358452910075,15.3717397209978,20.010371386436677,39.32450036107582,0.0017777777777777779,0.5866666666666667,0.04,0.37333333333333335
4,983484580,6.979671664424814,14.87133335643021,19.912571481092602,32.494684251275885,0.0022222222222222222,0.5266666666666666,0.08,0.3933333333333333
5,1197747294,7.496453341149234,15.875541521097949,20.958933771830658,38.42756373103384,0.003111111111111111,0.6,0.08,0.32
6,1635594672,7.605227011822535,16.416302469034605,21.922565979377016,34.209306095448255,0.004222222222222222,0.58,0.14,0.28
7,790445655,7.076375529820211,14.862268492808536,19.719431995000114,31.47067714186136,0.0006666666666666666,0.5933333333333334,0.013333333333333334,0.3933333333333333
8,76921334,7.117345029307387,15.506176766182106,20.694287452782174,43.211648883840326,0.003111111111111111,0.5533333333333333,0.09333333333333334,0.35333333333333333
9,461584351,7.00178682986774,15.233701967767384,20.279557587643648,34.041452986905085,0.0026666666666666666,0.5066666666666667,0.11333333333333333,0.38
10,979858944,6.970975142053248,14.955895398072974,20.62854767526178,42.196016204030684,0.0026666666666666666,0.54,0.08,0.38
11,828550811,7.208832349240524,15.320855354217763,20.207239497084267,34.82950574016286,0.0022222222222222222,0.5666666666666667,0.08,0.35333333333333333
12,1965527186,6.891453338120357,14.903151833240711,20.01804185008608,42.19740902590274,0.0023333333333333335,0.4666666666666667,0.14666666666666667,0.38666666666666666
13,919476259,7.015037157827919,15.166847019231962,20.951402800548035,36.68308726025771,0.0028888888888888888,0.52,0.12,0.36
14,1370311827,7.293757801264178,15.515319240597591,20.759846575556654,35.87658680170591,0.0025555555555555557,0.5266666666666666,0.15333333333333332,0.32
15,1312849327,7.2506331887751685,15.455861511239986,21.300466240348477,35.030762851164354,0.0028888888888888888,0.5733333333333334,0.08666666666666667,0.34
16,195542680,7.085794813242785,15.254404884545636,20.49671636793534,47.13721347255273,0.003111111111111111,0.52,0.11333333333333333,0.36666666666666664
17,1581376614,7.224996691512331,15.573519667920253,21.22608459971565,38.81362195690485,0.0032222222222222222,0.5066666666666667,0.15333333333333332,0.34
18,107260627,7.360760203923178,15.54849990107101,20.625299005357085,34.85262181129656,0.0026666666666666666,0.56,0.11333333333333333,0.32666666666666666
19,32834287,7.065576385251404,15.04951740314695,19.857027202588352,35.371758737809955,0.0015555555555555555,0.5533333333333333,0.06666666666666667,0.38
20,1257010628,7.0416369684664915,14.859347983057344,19.314867766233593,32.5598412975836,0.002,0.5533333333333333,0.05333333333333334,0.3933333333333333
21,545548707,6.940989275960874,14.86211864376656,19.400588905228364,32.12913428745878,0.0025555555555555557,0.54,0.07333333333333333,0.38666666666666666
22,786091512,7.042371969255612,15.203119537683381,19.639123085647448,35.82961590957723,0.0015555555555555555,0.5666666666666667,0.05333333333333334,0.38
23,1297393342,6.8934035105462925,14.702544051687735,19.823700767635444,41.84402968286349,0.0016666666666666668,0.52,0.08,0.4
24,335903540,6.904303046837867,14.515273347537061,19.44643213777454,32.82199993338786,0.0015555555555555555,0.5266666666666666,0.07333333333333333,0.4
25,179823182,7.1219338840098345,15.02612368975704,20.11766680096827,32.02128109893465,0.0016666666666666668,0.5733333333333334,0.04666666666666667,0.38
26,1504878305,7.051184824462098,15.043182626027372,20.442898864392713,34.2193209845334,0.0026666666666666666,0.5266666666666666,0.1,0.37333333333333335
27,2142681188,7.454515598880107,15.651546301120332,21.28310642948378,41.63823275642642,0.0025555555555555557,0.5466666666666666,0.14666666666666667,0.30666666666666664
28,1466447481,6.917094917007205,14.81621696351637,19.75314293510081,36.068249064697966,0.0014444444444444444,0.5266666666666666,0.08666666666666667,0.38666666666666666
29,1787449690,7.241805049229555,15.899261732324277,20.896435027160997,39.487880266079856,0.002777777777777778,0.5533333333333333,0.11333333333333333,0.3333333333333333
